"N_cells"	"ID"	"ParentID"	"Birth_time"	"type"	"mut_den"	"driver_genes"	"passenger_genes"	"PointMut_ID"	"CNA_ID"	"order"
"4"	"5123"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9319"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"4"	"5124"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 1"	"213, 239, 455, 1747, 2189, 9321"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS"
"4"	"5125"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9323"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> KRAS"
"2"	"5126"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189"	"616"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> PIK3CA"
"4"	"5127"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9325"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> PIK3CA"
"4"	"5128"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9327"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> PIK3CA"
"4"	"5129"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9329"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> TP53"
"3"	"5130"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9331"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"4"	"5132"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9335"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"2"	"5133"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9337"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"4"	"5134"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9339"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"4"	"5135"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9341"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"2"	"5136"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9343"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"4"	"5138"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9347"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"3"	"5141"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9353"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"2"	"5142"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9355"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"4"	"5143"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9357"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"2"	"5144"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9359"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"4"	"5145"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9361"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"4"	"5146"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9363"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> PIK3CA"
"2"	"5148"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9367"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"4"	"5149"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9369"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"2"	"5150"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9371"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"4"	"5151"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9373"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> PIK3CA"
"2"	"5152"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9375"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"2"	"5154"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9379"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"2"	"5155"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9381"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"4"	"5156"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9383"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> PIK3CA"
"2"	"5157"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9385"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"4"	"5158"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9387"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> PIK3CA"
"2"	"5159"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9389"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"2"	"5160"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9391"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> PIK3CA"
"2"	"5161"	"1197"	"84"	1	1	"1 1 1 1"	"1 0 0 0"	"213, 239, 455, 1747, 2189, 9393"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS"
"4"	"5162"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9395"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> PIK3CA"
"2"	"5163"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9397"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> PIK3CA"
"2"	"5164"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9399"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"3"	"5165"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9401"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> PIK3CA"
"4"	"5166"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9403"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> PIK3CA"
"4"	"5167"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9405"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"4"	"5168"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9407"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"2"	"5169"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9409"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> TP53"
"4"	"5171"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9413"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"4"	"5172"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9415"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> PIK3CA"
"4"	"5173"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9417"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"4"	"5174"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9419"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> KRAS"
"4"	"5176"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9423"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"4"	"5178"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9427"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"4"	"5179"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9429"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> PIK3CA"
"2"	"5180"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9431"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> PIK3CA"
"2"	"5183"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9437"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"2"	"5184"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 1"	"9439, 239, 455, 1747, 2189"	"618"	"PIK3CA -> APC -> APC -> TP53 -> KRAS"
"4"	"5185"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9441"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> PIK3CA"
"4"	"5186"	"1197"	"84"	1	1	"1 1 1 1"	"1 0 0 0"	"213, 239, 455, 1747, 2189, 9443"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS"
"2"	"5189"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9447"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> PIK3CA"
"2"	"5190"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9449"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"4"	"5191"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9451"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> PIK3CA"
"4"	"5192"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9453"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"4"	"5193"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9455"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"4"	"5195"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9459"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> PIK3CA"
"2"	"5196"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189"	"620"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"4"	"5198"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 1"	"213, 239, 455, 1747, 2189, 9463"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS"
"4"	"5201"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9469"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"2"	"5202"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9471"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"3"	"5203"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9473"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"3"	"5204"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9475"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> PIK3CA"
"2"	"5205"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9477"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> PIK3CA"
"4"	"5207"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9481"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"4"	"5208"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9483"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"4"	"5209"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9485"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"4"	"5210"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9487"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"4"	"5211"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9489"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"4"	"5213"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9493"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> PIK3CA"
"2"	"5214"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 9495, 455, 1747, 2189"	"622"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"2"	"5215"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 1"	"213, 239, 455, 1747, 2189, 9497"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS"
"4"	"5216"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9499"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> KRAS"
"4"	"5217"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189"	"623"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"4"	"5218"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9501"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> PIK3CA"
"2"	"5219"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 1"	"213, 239, 455, 1747, 2189, 9503"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS"
"2"	"5220"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9505"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"4"	"5221"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9507"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"2"	"5222"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9509"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> TP53"
"4"	"5223"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9511"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"4"	"5224"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9513"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"4"	"5225"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9515"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> PIK3CA"
"4"	"5226"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9517"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> KRAS"
"2"	"5227"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9519"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"4"	"5229"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9523"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> PIK3CA"
"4"	"5230"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9525"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"4"	"5231"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9527"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"2"	"5234"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9531"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"4"	"5235"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9533"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"2"	"5236"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9535"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"1"	"5238"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9539"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"2"	"5239"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9541"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> TP53"
"2"	"5240"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9543"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> TP53"
"4"	"5241"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9545"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> TP53"
"4"	"5242"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189"	"625"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"2"	"5243"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9547"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"2"	"5244"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9549"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"2"	"5246"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9553"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"2"	"5247"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9555"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> TP53"
"2"	"5248"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189"	"627"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"2"	"5249"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 1"	"9557, 239, 455, 1747, 2189"	"628"	"PIK3CA -> APC -> APC -> TP53 -> KRAS"
"2"	"5250"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9559"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"4"	"5251"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 9561, 455, 1747, 2189"	"629"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"4"	"5252"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9563"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> TP53"
"4"	"5253"	"1197"	"84"	1	1	"1 1 1 1"	"1 0 0 0"	"213, 239, 455, 1747, 2189, 9565"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS"
"4"	"5254"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9567"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> PIK3CA"
"2"	"5255"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9569"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> PIK3CA"
"3"	"5256"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9571"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> PIK3CA"
"4"	"5257"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9573"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"4"	"5258"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9575"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> PIK3CA"
"4"	"5259"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9577"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"3"	"5260"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9579"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"2"	"5262"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9583"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"4"	"5263"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9585"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> TP53"
"4"	"5265"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9589"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"4"	"5266"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9591"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> TP53"
"4"	"5267"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189"	"630"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> PIK3CA"
"4"	"5268"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9593"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> KRAS"
"4"	"5269"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9595"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> TP53"
"2"	"5270"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9597"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"2"	"5272"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189"	"631"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> PIK3CA"
"4"	"5273"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9601"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"2"	"5274"	"1197"	"84"	1	1	"1 1 1 1"	"1 0 0 0"	"213, 239, 455, 1747, 2189, 9603"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS"
"2"	"5275"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9605"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"4"	"5276"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9607"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"4"	"5277"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9609"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> PIK3CA"
"4"	"5279"	"1197"	"84"	1	1	"1 1 1 1"	"1 0 0 0"	"213, 239, 455, 1747, 2189"	"632"	"PIK3CA -> APC -> APC -> TP53 -> KRAS"
"4"	"5280"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9613"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"4"	"5281"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9615"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"4"	"5282"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9617"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> PIK3CA"
"2"	"5283"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9619"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"4"	"5284"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9621"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> KRAS"
"2"	"5285"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9623"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> APC"
"4"	"5286"	"1197"	"84"	1	1	"1 1 1 1"	"1 0 0 0"	"213, 239, 455, 1747, 2189"	"633"	"PIK3CA -> APC -> APC -> TP53 -> KRAS"
"4"	"5288"	"1197"	"84"	1	1	"1 1 1 1"	"0 0 0 0"	"213, 239, 455, 1747, 2189, 9627"	"0"	"PIK3CA -> APC -> APC -> TP53 -> KRAS -> PIK3CA"
